question,answer,partners_personnel_selected
How many candidates do you have in your database?,"As of today, 4/25/2023, we have the following:
2060 associates who have successfully completed assignments and are available for work
3464 associate who have been onboarded within the last 30 days and are available for work
4117 associates going through the application process
In total we have 57083 associates active and unassigned in our system.",0
How often do you review and refresh your database of candidates?,"Our sourcing platform is updated throughout the day and allows our teams to view associate who have recently completed assignments successfully, those who have been newly onboarded and those in the application process. This allows our teams to view the most up to date information with associates who are actively seeking employment. ",0
"If you are a member of the American Staffing Association, what certifications do you hold?","Partners Personnel is not currently a member of the American Staffing Association. However, Partners Personnel has been recognized by the Staffing Industry Analysts (SIA) as the Best Staffing Firm To Work For in 2022 and 2023. Additionally, Partners Personnel has been recognized by Clearly Rated as the Best of Staffing Client Satisfaction and Best of Staffing Talent Satisfaction for 2023.",0
How do you determine which employees need coverage under the ACA?,"ACA compliance states that anyone who on average works more than 30 hours per week or 130 hours per month requires aca coverage. Our payroll system automates this process through the start dates, hours worked and end dates of assignments.  ",0
"Can you commit to meet emergency requests and/or urgent ad-hoc requests from Segra?		","Yes, Depends on each site. Minimum lead times will depend on how many associates are requested.						",0
Provide a brief of company history and number of employees,545 employees,0
What logical or physical access to Segra information or facilities will your company require access to? ,None,0
Are there any major mergers and acquisitions?,No,0
Is your company subject to regulatory oversight?,No,0
Are Security/Compliance reports publicly available?,No,0
Will there be physical access to Segra network?,No,0
Are logs maintained that record all changes to information systems?,N/A,0
Is the fire fighting system tested periodically?,N/A,0
Are privileged access accounts separately managed and controlled?,N/A,0
Are there periodic audits performed on the user access profiles?,Yes,0
"Is two factor authentication required to access the production environment containing sensitive services, functions, and environments? 
(Ex: VPN/Remote access, Priveleged system access,  Data access)",No,0
Are unsuccessful attempts to gain access to the work stations being logged and periodically analyzed?,N/A,0
Is there a secure procedure for the storage and maintenance of Administrator logs?,N/A,0
Are the system administrator activities on firewall and other network elements being logged and monitored?,N/A,0
Are controls in place to ensure users only have access to the network resources they have been specially authorised to use and are required for their duties?,N/A,0
Is there a formal policy requiring compliance with software licenses and prohibiting the use of unauthorized software?,N/A,0
Are guest accounts disabled in the User machines?,N/A,0
Is the Password protect option enabled and configured correctly during inactivity after a set time?,N/A,0
"Is there a defined, implemented, and communicated end-to-end system development methodology in place?",N/A,0
Are applications designed in accordance with industry accepted security standards and comply with applicable regulatory and business requirements?,N/A,0
