id,choice
1172,"""As part of our due diligence, we need to verify the financial stability of our suppliers. Can you provide us with the start and end dates of your company's financial year?"""
1172,"""In conducting our due diligence, we need to assess the financial health of our suppliers. When does your company's financial year begin and end?"""
1172,"""As part of our due diligence process, we review the financial stability of our suppliers. Could you please clarify the dates of your company's financial year?"""
1172,"""To ensure the financial stability of our suppliers, we need to know the timeframe of your company's financial year. Could you provide those details?"""
1172,"""Part of our due diligence involves checking the financial stability of our suppliers. Can you confirm the start and end dates of your company's financial year?"""
1173,"""What is the current size of your candidate database?"""
1173,"""How many potential candidates are included in your database?"""
1173,"""Can you provide an estimate of the number of candidates in your database?"""
1173,"""What is the total count of candidates within your database?"""
1173,"""How large is your pool of candidates that you're currently managing?"""
1174,"""What criteria do you use to decide which company a candidate is placed with when multiple clients are interested?"""
1174,"""How do you make placement decisions when multiple clients are interested in the same candidate?"""
1174,"""What factors influence your decision on which client to place a candidate with when there are multiple options?"""
1174,"""Can you walk me through your process for assigning candidates to clients when there is overlap in their preferences?"""
1174,"""How do you navigate competing client interests when it comes to matching candidates with job opportunities?"""
1175,"""What is the schedule for revisiting and updating your candidate database?"""
1175,"""Do you have a set timeframe for reviewing and refreshing your list of potential applicants?"""
1175,"""When was the last time you reviewed and updated your database of candidates?"""
1175,"""How frequently do you go over your roster of potential hires to ensure it is current?"""
1175,"""Can you elaborate on your process for maintaining and updating your candidate database on a regular basis?"""
1176,"""Can you detail the background and drug screening process you follow, including the type and extent of the checks? Also, who handles your background checks?"""
1176,"""What procedures do you have in place for conducting background and drug tests? How comprehensive are they, and who is your chosen provider for background screenings?"""
1176,"""How thorough are your background and drug testing protocols? Who handles these checks, and can you provide information on your service provider for background screenings?"""
1176,"""What measures do you take for background and drug testing, and how rigorous are these processes? Additionally, could you share who you rely on for background checks?"""
1176,"""Could you provide details on the background and drug testing methods you use, including the level of thoroughness? Also, who is responsible for conducting these checks, and who is your trusted service provider for background screenings?"""
1177,"""Can you detail the types of questions you typically ask candidates in interviews and elaborate on how you assess their responses? Are external contributors allowed to provide additional questions?"""
1177,"""Please explain the specific questions you utilize in your interview process and how you evaluate candidate answers. Is there an option for candidates to suggest their own questions?"""
1177,"""What are some examples of questions you typically include in your interviews and can you provide insight into your evaluation process? Are there opportunities for external input on questions?"""
1177,"""Could you walk me through the types of questions you usually ask during interviews and how you assess candidate responses? Is it possible for applicants to suggest additional questions?"""
1177,"""How do you structure your interview questions and what criteria do you use to evaluate candidate answers? Would it be acceptable for candidates to propose their own questions for consideration?"""
1178,"""How will Michaels be involved in the recruitment and training process, and who is responsible for approvals and onboarding?"""
1178,"""Can you explain the role of Michaels in the hiring and training procedures, including who oversees approvals and onboarding?"""
1178,"""In what ways will Michaels be utilized during the hiring and onboarding process, and who is in charge of approvals and training?"""
1178,"""Who is involved in the decision-making process and onboarding training when it comes to Michaels' role in recruitment?"""
1178,"""What is the process for incorporating Michaels into the hiring and onboarding process, and who manages approvals and training for new hires?"""
1179,"""What certifications do you possess if you are a member of the American Staffing Association?"""
1179,"""Could you list the certifications you have if you are part of the American Staffing Association?"""
1179,"""What specific certifications do you hold as a member of the American Staffing Association?"""
1179,"""If you belong to the American Staffing Association, what certifications have you earned?"""
1179,"""Can you tell me about the certifications you currently hold as a member of the American Staffing Association?"""
1180,"""What is your method for identifying which employees are eligible for coverage under the ACA?"""
1180,"""How do you decide which employees qualify for ACA coverage within your organization?"""
1180,"""What criteria do you use to determine which employees require coverage under the ACA?"""
1180,"""How do you assess which employees meet the requirements for ACA coverage?"""
1180,"""What process do you follow to establish which employees are entitled to ACA coverage?"""
1181,"""Are you certified as a diverse business, such as being female-owned or disabled veteran owned? If so, can you provide more details?"""
1181,"""Do you hold any diversity business certifications, like being MBE or WBE certified? If you do, please list them."""
1181,"""Have you obtained any diversity business certifications, like being a minority-owned or woman-owned business? If you have, please specify."""
1181,"""Are you recognized as a diverse business, for example, being owned by a veteran or a person with a disability? If you are, please indicate which certifications you hold."""
1181,"""Can you confirm if you have any diversity business certifications, such as being a certified MBE or WBE? If you do, kindly list them."""
1182,"""Can you disclose any legal or financial issues, such as lawsuits or liens, involving your company or its officers in the last three years?"""
1182,"""Are there any pending legal or financial cases against your company or key individuals within the last three years that we should be aware of?"""
1182,"""In the past three years, have there been any lawsuits, liens, or other legal/financial actions taken against your company or its executives?"""
1182,"""Could you provide information on any legal or financial actions, like lawsuits or foreclosures, involving your company or its principals within the last three years?"""
1182,"""Have there been any legal or financial proceedings against your company or its officers in the last three years that you could disclose to us?"""
1183,"""Can you outline your HR strategies for both attracting top talent and keeping them on board? How do you ensure the accuracy of employees' credentials in this process?"""
1183,"""What methods do you use to both attract and retain top talent within your organization, while also verifying the accuracy of their credentials?"""
1183,"""Could you detail the procedures you have in place for both recruiting and retaining top talent, as well as verifying the credentials of your employees?"""
1183,"""How do you approach bringing in and keeping top talent within your company? Additionally, how do you confirm the validity of their qualifications?"""
1183,"""Please explain your organization's HR practices for both drawing in top talent and maintaining their loyalty. How do you verify the accuracy of employees' credentials throughout this process?"""
1184,"""Are you able to ensure timely response to urgent and emergency requests from Segra?"""
1184,"""Will you be available to handle sudden and unexpected requests from Segra in a timely manner?"""
1184,"""Can you guarantee your availability for emergency and urgent requests from Segra?"""
1184,"""How prepared are you to address urgent ad-hoc requests from Segra?"""
1184,"""Do you have the capability to meet the immediate needs of Segra with emergency or urgent requests?"""
1185,"""Can you outline the steps involved in your background check and drug screening process, including the specific requirements like SSN Trace and County Criminal Records Search?"""
1185,"""What company do you rely on to conduct employee screenings, and are there specific criteria that must be met such as the Panel 1205 9-Panel Drug Test?"""
1185,"""Could you walk me through your background check and drug screening procedures, detailing the various components like the Federal Criminal Records Search and Nationwide Criminal Search with Alias?"""
1185,"""How do you ensure compliance with Segra standards for background checks and drug screenings, including the necessary checks like the Nationwide Criminal Records Search including Sex Offenders?"""
1185,"""What steps do you take to verify the backgrounds of potential employees, and how do you stay up to date with evolving requirements such as the minimum Segra standards for screenings?"""
1186,"""How far in advance do you require notice from Segra to supply temporary services staff?"""
1186,"""Can you specify the amount of time needed by Segra to arrange temporary services staff?"""
1186,"""What is the minimum lead time needed from Segra for temporary services staff?"""
1186,"""Could you outline the lead time required by Segra to offer temporary services staff?"""
1186,"""Please provide details on the notice period required by Segra for temporary services staff."""
1187,"""Can you walk me through your procedure for handling customer quality issues and terminating underperforming temporary staff?"""
1187,"""How do you handle customer quality issues and deal with temporary staff who are not meeting expectations?"""
1187,"""What steps do you take to address customer quality issues and manage temporary staff who are not performing?"""
1187,"""Could you explain how you manage customer quality issues and the dismissal of temporary staff members who are underperforming?"""
1187,"""What is your approach to resolving customer quality issues and eliminating non-performing temporary staff from your workforce?"""
1188,"""How do you manage the distribution of equipment, specifically laptops, during the employee onboarding process? Does your company provide them or should Segra?"""
1188,"""Could you explain how equipment distribution, such as laptops, is handled during employee onboarding? Will your company cover the cost or should Segra provide them?"""
1188,"""What steps are taken to distribute equipment, like laptops, to new employees? Is it the responsibility of your company or Segra to provide these tools?"""
1188,"""Can you elaborate on the procedures involved in providing equipment, such as laptops, to new hires during onboarding? Who is responsible for the cost, your company or Segra?"""
