id,text,is_active,answer,created_at
337,"
Please explain how you keep a pipeline of critical positions available for future employment opportunities?
Additionally what is your applicant to placement ration?
(Critical Positions: Forklift, QA Inspector and Machine Operator)
",True,Answer object (337),2024-02-29 05:42:53.333664+00:00
336,"
For critical skilled positions (Forklift Driver, QA Inspector and Machine Operators) how do you review and verify their qualifications?
",True,Answer object (336),2024-02-29 05:42:53.296385+00:00
335,"
Do you have a training plan for forklift drivers? 
Please describe any Agency specific training required by forklift operators.
",True,Answer object (335),2024-02-29 05:42:53.260644+00:00
334,"
What is your strategy around hiring for forklift drivers?
",True,Answer object (334),2024-02-29 05:42:53.205792+00:00
333,"
We require that all of our employee be vaccinated for COVID-19.  How will you ensure this happens?
",True,Answer object (333),2024-02-29 05:42:53.159134+00:00
332,"
Any previous legal cases with where both your agency and WC were named in case?
",True,Answer object (332),2024-02-29 05:42:53.124894+00:00
331,"
What is your process for auditing employee onboarding paperwork to ensure arbitration agreements are signed?
Where do you maintain the arbitration agreements and for how long? 
What is the process for requesting the documents if/when needed?
",True,Answer object (331),2024-02-29 05:42:53.088048+00:00
330,"
Arbitration agreements required for every staffing agency employee, do you have any issues with this requirement?
",True,Answer object (330),2024-02-29 05:42:53.056722+00:00
329,"
What claims have you had related to DFEH and EEOC?
",True,Answer object (329),2024-02-29 05:42:53.025372+00:00
328,"
For our CA facilities an on-site coordinator will be requested if you provide over 100 employees to our facility. For our TX facilities we will request you provide an on-site coordinator if you provide over 40 employees to our facilities.  We will provide office space, furnishings, internet access and any additional resources if needed.  The expectation of the coordinator will be attendance and arrival calls, presence in and around the production facility, address safety concerns as needed, payroll and data entry, coordinate and conduct new-hire orientations, and manage the overall headcount of Assigned Employees based on Wonderful Citrus needs.
",True,Answer object (328),2024-02-29 05:42:52.924296+00:00
327,"
What is your most recent satisfaction score for the employees you've placed?
",True,Answer object (327),2024-02-29 05:42:52.893613+00:00
326,"
How do you measure your client satisfaction and what is your most recent satisfaction score?
",True,Answer object (326),2024-02-29 05:42:52.859479+00:00
325,"
Do you offer a satisfaction guarantee? 
If so what are the parameters?
",True,Answer object (325),2024-02-29 05:42:52.819809+00:00
324,"
How do you assess reasons for employees exiting the organization (ex. Exit interviews) and share an example of how you implement improvements based on the feedback?
",True,Answer object (324),2024-02-29 05:42:52.782523+00:00
323,"
If you were a provider of ours last season what was your monthly fill rate % of the requisitions you were given for critical roles by position?
(Critical Roles: Forklift, QA Inspector and Machine Operators)
",True,Answer object (323),2024-02-29 05:42:52.741219+00:00
322,"
If you were a provider of ours last season what was your monthly fill rate % of the requisitions you were given for non critical roles?
(Critical Roles: Forklift, QA Inspector and Machine Operators)
",True,Answer object (322),2024-02-29 05:42:52.696566+00:00
321,"
What action or steps do you implement to retain employees throughout the season?
",True,Answer object (321),2024-02-29 05:42:52.660693+00:00
320,"
If you were a provider of ours last season what was your turnover rate?  If you did not provide labor to us last season what is your average turnover rate?
",True,Answer object (320),2024-02-29 05:42:52.625991+00:00
319,"What does your firm do both in its operational and hiring practices to promote ESG and DEI (e.g., charity engagements, standard reports on background/nationality/gender of temp labor, inclusion training)?",True,Answer object (319),2024-02-29 05:42:52.585724+00:00
318,"What training and recruiting software do you use? Does your offer include access to VMS software? If so, what software? Is usage of this software optional, recommended, or required?",True,Answer object (318),2024-02-29 05:42:52.539334+00:00
317,"Please describe your reporting metrics and what software is used to report out to clients. (e.g., we track spend, hours, attrition, screening fails, punctuality, etc. that we send to each facility monthly via an Excel spreadsheet). A sample monthly business review structure with necessary fields is provided in the last tab.",True,Answer object (317),2024-02-29 05:42:52.483027+00:00
316,What is your firm offering that will enable Radial to improve (cost) competitiveness? What differentiates you from your competitors?,True,Answer object (316),2024-02-29 05:42:52.444283+00:00
315,"Do your call center figures include associated equipment (computer, headset, etc.)? Or will Radial need to provide equipment?",True,Answer object (315),2024-02-29 05:42:52.408884+00:00
314,Does your firm engage in any additional screening behind employment verification and background checks?,True,Answer object (314),2024-02-29 05:42:52.373627+00:00
313,"Radial expects agencies to conduct a 4-panel drug screen that excludes Marijuana. If this is an issue, please indicate this here.",True,Answer object (313),2024-02-29 05:42:52.337212+00:00
312,What screening criteria and methodology will be used?,True,Answer object (312),2024-02-29 05:42:52.305249+00:00
311,"Will your agency conduct I-9, E-Verify, or other employment verification?",True,Answer object (311),2024-02-29 05:42:52.269865+00:00
310,Who do you see as your 3 most critical competitors?,True,Answer object (310),2024-02-29 05:42:52.235497+00:00
309,Website,True,Answer object (309),2024-02-29 05:42:52.204157+00:00
308,"Ownership Structure (family owned, PE, public)",True,Answer object (308),2024-02-29 05:42:52.077022+00:00
